"gene_id","master_id","skel_code","skel_elem","year_pub","pub_abbr","doi","link","date_metho","date_BP","date_err","date_full","age_at_death","group","locality","pol_ent","lat","long","Pulldown.Strategy","suffices","data_type","no_lib","snps_1240k","snps_ho","mol_sex","ROH_tot","ROH_tot2","Y_hap","Y_hap2","Y.hap3","mtDNA_cov","mtDNA_hap","mtDNA_match","damage","sex_ratio","angsd","hapconx","lib_type","libs","endo","assess","assess_warn","mtDNA_hap_simp","y_hap_simp"
"I0001.AG","Loschbour","Loschbour2","tooth",2014,"MathiesonNature2018","doi:10.1038/nature25778","ENA:PRJEB22652","Direct: IntCal20",8025,64,"6221-5986 calBCE (7205±50 BP, OxA-7738)","34-47 yrs","Luxembourg_Mesolithic.AG","Loschbour (Echternach)","Luxembourg",49.81,6.4,"Native Pulldown on 3.2M snpset","AG","390K",NA,463455,366175,"M","121.049706","0","I-M423","I2a1a2",NA,NA,"U5b1a",NA,NA,NA,NA,"[0.005,0.012]",NA,NA,NA,"PASS","hapConX=[0.005,0.012]","U5b","I2a"
"cay007.SG","cay007","cay007",NA,2022,"AltınışıkScienceAdvances2022","doi:10.1126/sciadv.abo3609","ENA:PRJEB50507","Direct: IntCal20 (WARNING: MISSING LAB CODE)",9375,113,"7592-7186 calBCE (8401±95)",NA,"Turkey_Southeast_Cayonu_PPN.SG","Boncuklu (Diyarbakır, Ergani)","Turkey",38.2153007,39.7525788,"Native Pulldown on 3.2M snpset","SG","Shotgun",4,450701,232093,"M","15.046907","0","J-L26","J2a1a","J2a1a~","19.277","K1a3","[0.97,1]",NA,NA,"[0,0.0257]","[0.005,0.019]",NA,NA,NA,"PASS","hapConX=[0.005,0.019]","K1a","J2a"
"CL121.AG","CL121","CL121","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Archaeological",1345,14,"580-630 CE",NA,"Italy_North_EarlyMedieval_Langobards_o3.AG","Collegno (Piedmont, Turin)","Italy",45.0792,7.5783,"Native Pulldown on 3.2M snpset","AG","1240k",NA,868719,457334,"M","0","0","R-BY125315","S1a1b1d",NA,"15.91","T2b",NA,"0.1126",NA,"[0.003,0.012]","[0.004,0.008]","ds.half",NA,"0.35535","PASS",NA,"T2b","S1a"
"CL145.AG","CL145","CL145","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Archaeological",1345,14,"580-630 CE",NA,"Italy_North_EarlyMedieval_Langobards_1_brother.CL146_son.CL151.AG","Collegno (Piedmont, Turin)","Italy",45.0792,7.5783,"Native Pulldown on 3.2M snpset","AG","1240k",NA,838147,440939,"M","4.920197","0","R-S17624","R1b1a1b1a1a",NA,"6.55","T2b",NA,"0.1022",NA,"[0.003,0.013]","[0.003,0.007]","ds.half",NA,"0.29023","PASS",NA,"T2b","R1b"
"CL146.AG","CL146","CL146","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Archaeological",1345,14,"580-630 CE",NA,"Italy_North_EarlyMedieval_Langobards_1.AG","Collegno (Piedmont, Turin)","Italy",45.0792,7.5783,"Native Pulldown on 3.2M snpset","AG","1240k",NA,849289,447138,"M","5.933404","0","R-S17624","R1b1a1b1a1a",NA,"12.56","T2b3",NA,"0.1042",NA,"[0,0.006]","[0.002,0.005]","ds.half",NA,"0.35136","PASS",NA,"T2b","R1b"
"CL23.AG","CL23","CL23","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Archaeological",1345,14,"580-630 CE",NA,"Italy_North_EarlyMedieval_Langobards_2.AG","Collegno (Piedmont, Turin)","Italy",45.0792,7.5783,"Native Pulldown on 3.2M snpset","AG","1240k",NA,865420,455929,"M","0","0","T-CTS933","T1a2b1",NA,"14.1","H",NA,"0.1005",NA,"[0,0.008]","[0.004,0.008]","ds.half",NA,"0.36201","PASS",NA,"H","T1a"
"CL30.AG","CL30","CL30","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Archaeological",1345,14,"580-630 CE",NA,"Italy_North_EarlyMedieval_Langobards_3.AG","Collegno (Piedmont, Turin)","Italy",45.0792,7.5783,"Native Pulldown on 3.2M snpset","AG","1240k",NA,842607,443632,"M","0","0","R-P312","R1b1a1b1a1a2",NA,"17.07","I1b",NA,"0.0941",NA,"[0.002,0.01]","[0.003,0.007]","ds.half",NA,"0.31555","PASS",NA,"I1b","R1b"
"CL31.AG","CL31","CL31","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Archaeological",1345,14,"580-630 CE",NA,"Italy_North_EarlyMedieval_Langobards.AG","Collegno (Piedmont, Turin)","Italy",45.0792,7.5783,"Native Pulldown on 3.2M snpset","AG","1240k",NA,816869,430587,"M","0","0","G-Y34352","G2a",NA,"10.78","H18",NA,"0.0825",NA," .. ","[0.348,0.369]","ds.half",NA,"0.34568","CRITICAL","hapConX=[0.348,0.369]","H18","G2a"
"CL38.AG","CL38","CL38","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Archaeological",1345,14,"580-630 CE",NA,"Italy_North_EarlyMedieval_Langobards_3.AG","Collegno (Piedmont, Turin)","Italy",45.0792,7.5783,"Native Pulldown on 3.2M snpset","AG","1240k",NA,770189,407750,"M","0","0","E-CTS1273","E1b1b1a1b1",NA,"9.41","X2",NA,"0.0872",NA,"[0,0.008]","[0.003,0.006]","ds.half",NA,"0.32655","PASS",NA,"X2","E1b"
"CL53.AG","CL53","CL53","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Archaeological",1345,14,"580-630 CE",NA,"Italy_North_EarlyMedieval_Langobards_2.AG","Collegno (Piedmont, Turin)","Italy",45.0792,7.5783,"Native Pulldown on 3.2M snpset","AG","1240k",NA,336670,175255,"M","0","0","R-FGC24138","R1b1a1b1a",NA,"3.72","H11a",NA,"0.1019",NA,"[0,0.032]","[0,0.007]","ds.half",NA,"0.36761","PASS",NA,"H11","R1b"
"CL57.AG","CL57","CL57","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Archaeological",1345,14,"580-630 CE",NA,"Italy_North_EarlyMedieval_Langobards_2.AG","Collegno (Piedmont, Turin)","Italy",45.0792,7.5783,"Native Pulldown on 3.2M snpset","AG","1240k",NA,792075,415317,"M","0","0","R-FGC12521","R1b1a1b1a",NA,"12.63","H24a",NA,"0.082",NA,"[0,0.01]","[0.006,0.011]","ds.half",NA,"0.3388","PASS","hapConX=[0.006,0.011]","H24","R1b"
"CL63.AG","CL63","CL63","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Archaeological",1345,14,"580-630 CE",NA,"Italy_North_EarlyMedieval_Langobards_2.AG","Collegno (Piedmont, Turin)","Italy",45.0792,7.5783,"Native Pulldown on 3.2M snpset","AG","1240k",NA,856827,450044,"M","4.918397","0","I-Y3979","I1a3a1~",NA,"10.53","H",NA,"0.1285",NA,"[0.003,0.013]","[0.003,0.007]","ds.half",NA,"0.3323","PASS",NA,"H","I1a"
"CL84.AG","CL84","CL84","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Archaeological",1345,14,"580-630 CE",NA,"Italy_North_EarlyMedieval_Langobards_1.AG","Collegno (Piedmont, Turin)","Italy",45.0792,7.5783,"Native Pulldown on 3.2M snpset","AG","1240k",NA,823647,434379,"M","4.775095","0","R-U198","R1b1a1b1a1a1c2a",NA,"15.43","H1t",NA,"0.0545",NA,"[0,0.007]","[0.001,0.004]","ds.half",NA,"0.29929","PASS",NA,"H1t","R1b"
"CL92.AG","CL92","CL92","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Archaeological",1345,14,"580-630 CE",NA,"Italy_North_EarlyMedieval_Langobards_1_son.CL93.AG","Collegno (Piedmont, Turin)","Italy",45.0792,7.5783,"Native Pulldown on 3.2M snpset","AG","1240k",NA,763872,404659,"M","0","0","R-S17624","R1b1a1b1a1a",NA,"4.8","H",NA,"0.103",NA,"[0.001,0.012]","[0.002,0.007]","ds.half",NA,"0.36811","PASS",NA,"H","R1b"
"CL93.AG","CL93","CL93","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Archaeological",1345,14,"580-630 CE",NA,"Italy_North_EarlyMedieval_Langobards_1.AG","Collegno (Piedmont, Turin)","Italy",45.0792,7.5783,"Native Pulldown on 3.2M snpset","AG","1240k",NA,795244,419811,"M","6.2466","0","R-S17624","R1b1a1b1a1a",NA,"7.41","J2b1a",NA,"0.1148",NA,"[0.001,0.011]","[0.003,0.006]","ds.half",NA,"0.12424","PASS",NA,"J2b","R1b"
"CL94.AG","CL94","CL94","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Archaeological",1345,14,"580-630 CE",NA,"Italy_North_EarlyMedieval_Langobards_2.AG","Collegno (Piedmont, Turin)","Italy",45.0792,7.5783,"Native Pulldown on 3.2M snpset","AG","1240k",NA,878236,459901,"M","0","0","R-DF99","R1b1a1b1a1a2f",NA,"10.67","K1c1",NA,"0.1082",NA,"[0.001,0.01]","[0.004,0.007]","ds.half",NA,"0.29548","PASS",NA,"K1c","R1b"
"SZ12.AG","SZ12","SZ12","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Dates on contextual mateiral in same cemetery",1442,55,"412-604 CE",NA,"Hungary_Langobard.AG","Szólád (Somogy County, Kaposvár)","Hungary",46.2833333,17.85,"Native Pulldown on 3.2M snpset","AG","1240k",NA,535929,286805,"M","0","0","I-L801","I2a1b1a2b1",NA,"6.5","W6",NA,"0.1223",NA,"[0,0.014]","[0.002,0.008]","ds.half",NA,"0.12374","PASS",NA,"W6","I2a"
"SZ13.AG","SZ13","SZ13","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Direct (WARNING MISSING LAB CODE): IntCal20",1462,37,"424-550 calCE (1579±25 BP)",NA,"Hungary_Langobard_son.SZ24_father.SZ7_brother.SZ22.AG","Szólád (Somogy County, Kaposvár)","Hungary",46.2833333,17.85,"Native Pulldown on 3.2M snpset","AG","1240k",NA,832283,441749,"M","0","0","I-Y6876","I2a1b1a2b1a2a2~",NA,"7.44","N1b1b1",NA,"0.1128",NA,"[0.001,0.01]","[0.003,0.006]","ds.half",NA,"0.29665","PASS",NA,"N1b","I2a"
"SZ14.AG","SZ14","SZ14","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Dates on contextual mateiral in same cemetery",1442,55,"412-604 CE",NA,"Hungary_Langobard.AG","Szólád (Somogy County, Kaposvár)","Hungary",46.2833333,17.85,"Native Pulldown on 3.2M snpset","AG","1240k",NA,371528,200086,"M","0","0","I-CTS10057","I2a1b1a2",NA,"3.31","I3",NA,"0.1186",NA,"[0,0.024]","[0.001,0.011]","ds.half",NA,"0.28343","PASS",NA,"I3","I2a"
"SZ16.AG","SZ16","SZ16","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Dates on contextual mateiral in same cemetery",1442,55,"412-604 CE",NA,"Hungary_Langobard.AG","Szólád (Somogy County, Kaposvár)","Hungary",46.2833333,17.85,"Native Pulldown on 3.2M snpset","AG","1240k",NA,663351,350360,"M","0","0","R-S263","R1b1a1b1a1a1c",NA,"4.08","U4b1b",NA,"0.1068",NA,"[0,0.003]","[0.001,0.006]","ds.half",NA,"0.32672","PASS",NA,"U4b","R1b"
"SZ18.AG","SZ18","SZ18","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Dates on contextual mateiral in same cemetery",1442,55,"412-604 CE",NA,"Hungary_Langobard_o2.AG","Szólád (Somogy County, Kaposvár)","Hungary",46.2833333,17.85,"Native Pulldown on 3.2M snpset","AG","1240k",NA,734160,388968,"M","0","0","E-Y20282","E1b1b1a1b2a4b~",NA,"5.2","H13a1a2",NA,"0.1475",NA,"[0,0.008]","[0.002,0.006]","ds.half",NA,"0.00328","PASS",NA,"H13","E1b"
"SZ22.AG","SZ22","SZ22","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Dates on contextual mateiral in same cemetery",1442,55,"412-604 CE",NA,"Hungary_Langobard_son.SZ24_brother.SZ22.AG","Szólád (Somogy County, Kaposvár)","Hungary",46.2833333,17.85,"Native Pulldown on 3.2M snpset","AG","1240k",NA,707936,377396,"M","0","0","I-Y4926","I2a1b1a2b1a2a2~",NA,"5.44","N1b1b1",NA,"0.1458",NA,"[0.005,0.02]","[0.005,0.01]","ds.half",NA,"0.16612","PASS","ANGSD=[0.005,0.02], hapConX=[0.005,0.01]","N1b","I2a"
"SZ23.AG","SZ23","SZ23","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Dates on contextual mateiral in same cemetery",1442,55,"412-604 CE",NA,"Hungary_Langobard.AG","Szólád (Somogy County, Kaposvár)","Hungary",46.2833333,17.85,"Native Pulldown on 3.2M snpset","AG","1240k",NA,729220,387388,"M","0","0","R-Y10968","R1b1a1b1a1a1c2b",NA,"9.9","H13a1a2",NA,"0.0995",NA,"[0.002,0.013]","[0.007,0.012]","ds.half",NA,"0.06145","PASS","hapConX=[0.007,0.012]","H13","R1b"
"SZ24.AG","SZ24","SZ24","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Dates on contextual mateiral in same cemetery",1442,55,"412-604 CE",NA,"Hungary_Langobard.AG","Szólád (Somogy County, Kaposvár)","Hungary",46.2833333,17.85,"Native Pulldown on 3.2M snpset","AG","1240k",NA,458529,245145,"M","0","0","I-S8112","I2a1b1a2b1a2a2",NA,"2.96","U4b",NA,"0.1255",NA,"[0,0.027]","[0.015,0.028]","ds.half",NA,"0.24446","QUESTIONABLE","hapConX=[0.015,0.028]","U4b","I2a"
"SZ27.AG","SZ27","SZ27","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Direct (WARNING MISSING LAB CODE): IntCal20",1467,37,"419-543 calCE (1595±27 BP)",NA,"Hungary_Langobard_o2.AG","Szólád (Somogy County, Kaposvár)","Hungary",46.2833333,17.85,"Native Pulldown on 3.2M snpset","AG","1240k",NA,890299,468727,"M","0","0","R-L2","R1b1a1b1a1a2b1",NA,"2.95","N1a1a1a1",NA,"0.1158",NA,"[0.001,0.015]","[0.004,0.007]","ds.half",NA,"0.14714","PASS",NA,"N1a","R1b"
"SZ37.AG","SZ37","SZ37","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Direct (WARNING MISSING LAB CODE): IntCal20",1430,46,"433-593 calCE (1544±26 BP)",NA,"Hungary_Langobard_o1.AG","Szólád (Somogy County, Kaposvár)","Hungary",46.2833333,17.85,"Native Pulldown on 3.2M snpset","AG","1240k",NA,501182,267373,"M","0","0","R-L2","R1b1a1b1a1a2b1",NA,"6.11","H66a",NA,"0.097",NA,"[0,0.012]","[0.005,0.015]","ds.half",NA,"0.29674","PASS","hapConX=[0.005,0.015]","H66","R1b"
"SZ42.AG","SZ42","SZ42","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Dates on contextual mateiral in same cemetery",1442,55,"412-604 CE",NA,"Hungary_Langobard.AG","Szólád (Somogy County, Kaposvár)","Hungary",46.2833333,17.85,"Native Pulldown on 3.2M snpset","AG","1240k",NA,847341,447706,"M","0","0","R-Y11232","R1b1a1b1a1a2b1",NA,"9.74","K2a6",NA,"0.0794",NA,"[0.002,0.01]","[0.003,0.007]","ds.half",NA,"0.01724","PASS",NA,"K2a","R1b"
"SZ7.AG","SZ7","SZ7","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Dates on contextual mateiral in same cemetery",1442,55,"412-604 CE",NA,"Hungary_Langobard.AG","Szólád (Somogy County, Kaposvár)","Hungary",46.2833333,17.85,"Native Pulldown on 3.2M snpset","AG","1240k",NA,759609,401066,"M","0","0","I-Y6876","I2a1b1a2b1a2a2~",NA,"4.7","T2e",NA,"0.0864",NA,"[0,0.01]","[0.002,0.006]","ds.half",NA,"0.34358","PASS",NA,"T2e","I2a"
"SZ11.SG","SZ11","SZ11","petrous",2018,"AmorimNatureCommunications2018","doi:10.1038/s41467-018-06024-4","NCBI sequence read archive (SRA) database under accession # SRP132561 (1240 capture data) & SRP132581 (WGS data)","Context: Dates on contextual mateiral in same cemetery",1442,55,"412-604 CE",NA,"Hungary_Langobard.SG","Szólád (Somogy County, Kaposvár)","Hungary",46.2833333,17.85,"Native Pulldown on 3.2M snpset","SG","Shotgun",NA,1149833,579618,"M","0","0","R-S1734","R1b1a1b1a1a1c2b2b1a1a",NA,"126.81","K2a3a",NA,"0.115",NA,"[0,0.007]","[0.005,0.007]","ds.half",NA,"0.65793","PASS","hapConX=[0.005,0.007]","K2a","R1b"
